Date,StrategyValue,Benchmark,Returns,Cummax,drawdown,Monat,monthly_returns,Benchmark_Returns
2004-01-02,100.0,,0.0,100.0,-0.0,1,0.0,
2004-01-05,100.0,,0.0,100.0,-0.0,1,0.0,
2004-01-06,100.0,,0.0,100.0,-0.0,1,0.0,
2004-01-07,99.99,,-0.0001000000000001,100.0,-0.0100000000000051,1,0.0,
2004-01-08,100.0,,0.0001000100010002,100.0,-0.0,1,0.0,
2004-01-09,99.82,,-0.0018,100.0,-0.1800000000000068,1,0.0,
2004-01-12,100.11,,0.0029052294129434,100.11,-0.0,1,0.0,
2004-01-13,99.92,,-0.0018979122964738,100.11,-0.1897912296473856,1,0.0,
2004-01-14,99.94,,0.0002001601281025,100.11,-0.1698132054739803,1,0.0,
2004-01-15,100.15,,0.0021012607564538,100.15,-0.0,1,0.0,
2004-01-16,100.24,,0.0008986520219669,100.24,-0.0,1,0.0,
2004-01-20,100.47,,0.0022944932162809,100.47,-0.0,1,0.0,
2004-01-21,100.55,,0.0007962575893301,100.55,-0.0,1,0.0,
2004-01-22,100.58,,0.0002983590253604,100.58,-0.0,1,0.0,
2004-01-23,100.1,,-0.004772320540863,100.58,-0.4772320540863034,1,0.0,
2004-01-26,99.97,,-0.0012987012987012,100.58,-0.6064824020680051,1,0.0,
2004-01-27,99.84,,-0.001300390117035,100.58,-0.7357327500497066,1,0.0,
2004-01-28,99.54,,-0.0030048076923077,100.58,-1.0340027838536408,1,0.0,
2004-01-29,99.74,,0.0020092425155715,100.58,-0.8351560946510274,1,0.0,
2004-01-30,99.81,,0.0007018247443353,100.58,-0.7655597534301014,1,0.0,
2004-02-02,99.96,,0.001502855425308,100.58,-0.6164247365281413,2,0.0,
2004-02-03,100.11,,0.0015006002400961,100.58,-0.467289719626167,2,0.0,
2004-02-04,99.57,,-0.0053940665268205,100.58,-1.0041757804732605,2,0.0,
2004-02-05,100.29,,0.0072310937029227,100.58,-0.288327699343798,2,0.0,
2004-02-06,101.18,,0.0088742646325654,101.18,-0.0,2,0.0,
2004-02-09,101.14,,-0.0003953350464519,101.18,-0.0395335046451929,2,0.0,
2004-02-10,101.47,,0.0032628040340121,101.47,-0.0,2,0.0,
2004-02-11,101.58,,0.001084064255445,101.58,-0.0,2,0.0,
2004-02-12,101.37,,-0.0020673360897813,101.58,-0.2067336089781391,2,0.0,
2004-02-13,101.18,,-0.0018743217914569,101.58,-0.3937783028155064,2,0.0,
2004-02-17,101.35,,0.0016801739474203,101.58,-0.2264225241189249,2,0.0,
2004-02-18,101.15,,-0.0019733596447951,101.58,-0.4233116755266712,2,0.0,
2004-02-19,100.88,,-0.0026693030153238,101.58,-0.6891120299271538,2,0.0,
2004-02-20,100.65,,-0.0022799365582869,101.58,-0.9155345540460648,2,0.0,
2004-02-23,99.94,,-0.0070541480377547,101.58,-1.6144910415436111,2,0.0,
